Rank,Country,Medical Infrastructure and Professionals,Medicine Availability and Cost,Government Readiness,Health Care Index (Overall)
1,Taiwan,87.16,83.59,82.3,78.72
2,South Korea,79.05,78.39,78.99,77.7
3,Australia,90.75,82.59,92.06,74.11
4,Canada,86.18,78.99,88.23,71.32
5,Sweden,78.77,74.88,74.18,70.73
6,Ireland,92.58,96.22,67.51,67.99
7,Netherlands,77.86,71.82,55.1,65.38
8,Germany,86.28,75.81,83.82,64.66
9,Norway,72.48,68.68,64.78,64.63
10,Israel,88.63,75.61,90.25,61.73
11,Belgium,79.09,69.93,67.29,60.16
12,Switzerland,77.76,68.97,59.65,59.6
13,Japan,98.7,94.99,98.74,59.52
14,Singapore,76.39,67.47,71.33,57.96
15,United States,79.73,68.59,75.73,56.71
16,Austria,86.58,71.23,73.86,54.86
17,United Arab Emirates,78.93,66.04,60.94,52.3
18,Czech Republic,77.77,65.42,69.68,52.25
19,Finland,74.2,63.51,97.84,52.1
20,Portugal,68.21,60.36,55.08,51.99
21,New Zealand,73.53,62.22,74.19,50.15
22,Italy,98.3,75.25,83.54,49.58
23,Hong Kong,62.39,55.73,52.91,48.64
24,Denmark,82.67,66.15,81.98,48.54
25,France,69.37,59.16,66.11,48.27
26,Spain,96.87,86.79,98.21,48.13
27,United Kingdom,78.03,63.08,75.19,47.15
28,Greece,70.06,58.53,62.6,46.24
29,India,75.2,60.99,66.54,45.84
30,Luxembourg,84.18,65.52,76.28,45.62
31,Croatia,83.43,64.98,85.77,45.3
32,Lithuania,71.12,58.62,64.48,45.3
33,Slovenia,67.54,56.77,60.69,45.29
34,Estonia,64.17,54.94,52.11,45.1
35,Cyprus,78.39,62.1,74.03,44.72
36,Iceland,98.1,66.02,64.34,44.55
37,Saudi Arabia,83.38,87.03,98.43,44.43
38,Brazil,85.38,64.9,72.19,43.06
39,Indonesia,64.37,54.02,55.79,42.99
40,Latvia,71.54,57.69,53.28,42.92
41,Bulgaria,65.97,54.61,47.94,42.5
42,Russia,88.12,72.84,91.25,42.31
43,Slovakia,76.84,59.97,74.42,41.99
44,Hungary,74.88,58.95,69.12,41.97
45,Mexico,71.55,57.07,65.42,41.63
46,China,69.67,55.99,65.36,41.4
47,Costa Rica,89.83,65.29,87.57,39.85
48,North Macedonia,75.65,58.23,65.85,39.65
49,Tunisia,73.88,57.18,74.7,39.37
50,Lebanon,68.39,54.18,65.81,39.03
51,Georgia,67.54,53.73,47.83,39.02
52,Bosnia And Herzegovina,76.14,58.14,62.74,38.95
53,Albania,91.58,65.96,94.29,38.65
54,Bahrain,72.36,55.97,67.42,38.48
55,Tunisia,66.73,53.04,50.02,38.43
56,Jordan,90.55,79.67,97.21,38.13
57,Azerbaijan,70.93,54.96,64.1,37.94
58,Serbia,64.76,51.7,57.85,37.76
59,Poland,74.99,56.95,63.39,37.71
60,Turkey,70.83,54.54,73.01,37.16
61,Belarus,71.76,54.98,73.65,37.08
62,Panama,74.26,56.1,80.07,36.74
63,Uruguay,69.21,53.29,52.97,36.31
64,Uzbekistan,64.57,50.87,59.31,36.26
65,Venezuela,97.4,68.59,92.72,35.96
66,Oman,45.46,40.81,43.32,35.85
67,Argentina,77.18,57.08,72.25,35.64
68,Angola,72.04,54.41,71.68,35.61
69,Kenya,75.31,55.96,64.15,35.32
70,Puerto Rico,69.92,53.1,51.23,35.16
71,Dominican Republic,89.14,70.55,89.2,35.09
72,Ecuador,66.12,51.05,62.85,34.97
73,Kuwait,96.34,66.82,82.83,34.78
74,Morocco,67.9,51.87,63.47,34.78
75,Qatar,70.82,53.3,59.3,34.63
76,Ukraine,72.31,54.06,58.37,34.61
77,Algeria,69.88,52.7,66.16,34.37
78,Kazakhstan,73.69,54.62,59.64,34.28
79,Iraq,70.73,52.88,64.43,33.84
80,Peru,75.32,55.16,58.24,33.65
81,Colombia,68.87,51.69,53.55,33.38
82,South Africa,49.97,41.87,52.56,33.22
83,Thailand,67.36,50.73,63.2,33.01
84,Nigeria,69.5,51.81,62.68,32.94
85,Romania,70.58,52.34,68.18,32.89
86,Chile,77.8,56.06,59.35,32.88
87,Philippines,73.74,53.81,57.45,32.55
88,Malaysia,73.36,53.59,58.14,32.52
89,Vietnam,71.39,52.53,53.7,32.42
90,Bangladesh,70.5,51.8,52.41,31.9
91,Egypt,70.3,51.7,52.03,28.5
92,Iran,70.1,51.61,51.77,28.2
93,Guatemala,69.9,51.41,51.41,27.9
94,Tanzania,69.8,51.34,51.03,27.6
95,Turkmenistan,69.8,50.88,50.95,27.3
96,Cote dIvoire,69.5,50.73,50.63,27.2
97,Ghana,68.3,50.59,50.43,27
98,Myanmar,68.2,50.39,50.36,26.3
99,Uganda,66.9,50.28,49.85,25.8
100,Cameroon,66.8,50.13,49.67,25.7
101,Democratic Republic of the Congo,66.6,50.04,49.67,25.6
102,Sudan,66,49.97,49.63,25.6
103,Libya,65.8,49.9,49.04,25.2
104,Pakistan,65.2,49.87,48.53,22.7
105,Sri Lanka,65,49.64,48.4,22.5
106,Bolivia,64.2,49.6,47.96,22.3
107,Paraguay,64,49.25,47.73,21.9
108,Nepal,63.9,49.17,47.03,21.4
109,Honduras,63.4,49.15,46.58,19.6
110,El Salvador,62.6,48.96,46.22,18.6
